Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644424
Moved to 447, 359 at time 1607965646419
Moved to 448, 360 at time 1607965646563
Moved to 449, 361 at time 1607965707715
Moved to 450, 362 at time 1607965707763
Moved to 451, 363 at time 1607965708114
Moved to 452, 364 at time 1607965708334
Moved to 453, 365 at time 1607965708497
Moved to 454, 366 at time 1607965708531
Moved to 455, 367 at time 1607965708732
Moved to 456, 368 at time 1607965708976
Moved to 457, 369 at time 1607965709140
Moved to 458, 370 at time 1607965709328
Moved to 459, 371 at time 1607965709498
Moved to 460, 372 at time 1607965709931
Moved to 461, 373 at time 1607965710150
Moved to 462, 374 at time 1607965710580
Moved to 463, 375 at time 1607965710686
Moved to 464, 376 at time 1607965711034
Moved to 465, 377 at time 1607965711070
Moved to 466, 378 at time 1607965711152
Moved to 467, 379 at time 1607965711482
Moved to 468, 380 at time 1607965711546
Moved to 469, 381 at time 1607965712120
Moved to 470, 382 at time 1607965712227
Moved to 471, 383 at time 1607965712615
Moved to 472, 384 at time 1607965712654
Moved to 473, 385 at time 1607965713051
Moved to 474, 386 at time 1607965713728
Moved to 475, 387 at time 1607965714126
Moved to 476, 388 at time 1607965714502
Moved to 477, 389 at time 1607965714596
Moved to 478, 390 at time 1607965715037
Moved to 479, 391 at time 1607965715218
Moved to 480, 392 at time 1607965715333
Moved to 481, 393 at time 1607965715536
Moved to 482, 394 at time 1607965715655
Moved to 483, 395 at time 1607965715712
Moved to 484, 396 at time 1607965715849
Moved to 485, 397 at time 1607965715937
Moved to 486, 398 at time 1607965716303
Moved to 487, 399 at time 1607965716454
Moved to 488, 400 at time 1607965716762
Moved to 489, 401 at time 1607965716819
Moved to 490, 402 at time 1607965716952
Moved to 491, 403 at time 1607965717069
Moved to 492, 404 at time 1607965717195
Moved to 493, 405 at time 1607965717250
Moved to 494, 406 at time 1607965717384
Moved to 495, 407 at time 1607965717434
Moved to 496, 408 at time 1607965717558
Moved to 497, 409 at time 1607965717596
Moved to 498, 410 at time 1607965717710
Moved to 499, 411 at time 1607965718137
Moved to 500, 412 at time 1607965718541
Moved to 501, 413 at time 1607965718684
Moved to 502, 414 at time 1607965718880
Moved to 503, 415 at time 1607965719038
Moved to 504, 416 at time 1607965719132
Moved to 505, 417 at time 1607965719371
Moved to 506, 418 at time 1607965719486
Moved to 507, 419 at time 1607965719834
Moved to 508, 420 at time 1607965720000
Moved to 509, 421 at time 1607965720383
Moved to 510, 422 at time 1607965720536
Moved to 511, 423 at time 1607965720898
Moved to 512, 424 at time 1607965721056
Moved to 513, 425 at time 1607965721419
Moved to 514, 426 at time 1607965721486
Moved to 515, 427 at time 1607965721614
Moved to 516, 428 at time 1607965721656
Moved to 517, 429 at time 1607965721780
Moved to 518, 430 at time 1607965721826
Moved to 519, 431 at time 1607965721925
Moved to 520, 432 at time 1607965721962
Moved to 521, 433 at time 1607965722068
Moved to 522, 434 at time 1607965722107
Moved to 523, 435 at time 1607965722198
Moved to 524, 436 at time 1607965722239
Moved to 525, 437 at time 1607965722330
Moved to 526, 438 at time 1607965722720
Moved to 527, 439 at time 1607965723140
Moved to 528, 440 at time 1607965723178
Moved to 529, 441 at time 1607965723497
Moved to 530, 442 at time 1607965723536
Moved to 531, 443 at time 1607965724004
Moved to 532, 444 at time 1607965724063
Moved to 533, 445 at time 1607965724498
Moved to 534, 446 at time 1607965724554
Moved to 535, 447 at time 1607965724987
Moved to 536, 448 at time 1607965725025
Moved to 537, 449 at time 1607965725487
Moved to 538, 450 at time 1607965725940
Moved to 539, 451 at time 1607965726412
Moved to 540, 452 at time 1607965726866
Moved to 541, 453 at time 1607965727285
Moved to 542, 454 at time 1607965727751
Moved to 543, 455 at time 1607965728211
Moved to 544, 456 at time 1607965728644
Moved to 545, 457 at time 1607965729145
Moved to 546, 458 at time 1607965729530
Moved to 547, 459 at time 1607965729652
Moved to 548, 460 at time 1607965729770
Moved to 549, 461 at time 1607965729885
Moved to 550, 462 at time 1607965730206
Moved to 551, 463 at time 1607965730622
Moved to 552, 464 at time 1607965731085
Moved to 553, 465 at time 1607965731401
Moved to 554, 466 at time 1607965731515
Moved to 555, 467 at time 1607965731625
Moved to 556, 468 at time 1607965731734
Moved to 557, 469 at time 1607965731847
Moved to 558, 470 at time 1607965731947
Moved to 557, 469 at time 1607965732050
Moved to 556, 468 at time 1607965732148
