Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644596
Moved to 444, 524 at time 1607965646503
Moved to 443, 525 at time 1607965708014
Moved to 442, 526 at time 1607965708232
Moved to 441, 527 at time 1607965708410
Moved to 440, 528 at time 1607965708643
Moved to 439, 529 at time 1607965708831
Moved to 438, 530 at time 1607965708875
Moved to 437, 531 at time 1607965709047
Moved to 436, 532 at time 1607965709244
Moved to 435, 533 at time 1607965709408
Moved to 434, 534 at time 1607965709661
Moved to 433, 535 at time 1607965710376
Moved to 432, 536 at time 1607965710823
Moved to 431, 537 at time 1607965711334
Moved to 430, 538 at time 1607965711765
Moved to 429, 539 at time 1607965711916
Moved to 428, 540 at time 1607965712428
Moved to 427, 541 at time 1607965712482
Moved to 426, 542 at time 1607965712795
Moved to 425, 543 at time 1607965712838
Moved to 424, 544 at time 1607965713266
Moved to 423, 545 at time 1607965713353
Moved to 422, 546 at time 1607965713964
Moved to 421, 547 at time 1607965714279
Moved to 420, 548 at time 1607965714805
Moved to 419, 549 at time 1607965714854
Moved to 418, 550 at time 1607965715136
Moved to 417, 551 at time 1607965715279
Moved to 416, 552 at time 1607965715434
Moved to 415, 553 at time 1607965715603
Moved to 414, 554 at time 1607965715762
Moved to 415, 555 at time 1607965716097
Moved to 416, 556 at time 1607965716686
Moved to 417, 557 at time 1607965716895
Moved to 418, 558 at time 1607965717130
Moved to 419, 559 at time 1607965717316
Moved to 420, 560 at time 1607965717499
Moved to 421, 561 at time 1607965717651
Moved to 422, 562 at time 1607965717838
Moved to 423, 563 at time 1607965717894
Moved to 424, 564 at time 1607965718361
Moved to 425, 565 at time 1607965718396
Moved to 426, 566 at time 1607965718612
Moved to 427, 567 at time 1607965718792
Moved to 428, 568 at time 1607965718942
Moved to 429, 569 at time 1607965719245
Moved to 430, 570 at time 1607965719664
Moved to 431, 571 at time 1607965720178
Moved to 432, 572 at time 1607965720214
Moved to 433, 573 at time 1607965720716
Moved to 434, 574 at time 1607965721243
Moved to 435, 575 at time 1607965721563
Moved to 436, 576 at time 1607965721707
Moved to 437, 577 at time 1607965721888
Moved to 438, 578 at time 1607965722003
Moved to 439, 579 at time 1607965722165
Moved to 440, 580 at time 1607965722270
Moved to 441, 581 at time 1607965722502
Moved to 442, 582 at time 1607965722902
Moved to 443, 583 at time 1607965723386
Moved to 444, 584 at time 1607965723748
Moved to 445, 585 at time 1607965723804
Moved to 446, 586 at time 1607965724260
Moved to 447, 587 at time 1607965724306
Moved to 448, 588 at time 1607965724741
Moved to 449, 589 at time 1607965724797
Moved to 450, 590 at time 1607965725221
Moved to 451, 591 at time 1607965725282
Moved to 452, 592 at time 1607965725686
Moved to 453, 593 at time 1607965725739
Moved to 454, 594 at time 1607965726143
Moved to 455, 595 at time 1607965726196
Moved to 456, 596 at time 1607965726612
Moved to 457, 597 at time 1607965726662
Moved to 458, 598 at time 1607965727051
Moved to 459, 599 at time 1607965727534
Moved to 460, 600 at time 1607965727963
Moved to 461, 601 at time 1607965728004
Moved to 462, 602 at time 1607965728409
Moved to 463, 603 at time 1607965728917
Moved to 464, 604 at time 1607965729344
Moved to 465, 605 at time 1607965729605
Moved to 466, 606 at time 1607965729696
Moved to 467, 607 at time 1607965729837
Moved to 468, 608 at time 1607965730000
Moved to 469, 609 at time 1607965730082
Moved to 470, 610 at time 1607965730341
Moved to 471, 611 at time 1607965730474
Moved to 472, 612 at time 1607965730786
