Attacked Unit@32a3852at position 695, 1303 at time 1607972168641
Attacked Unit@28dae869at position 623, 1358 at time 1607972170332
Got attacked at 474, 1334 by Unit@4b2e64d2 at time 1607972170339
Attacked Unit@28c2aee8at position 715, 1306 at time 1607972172039
Attacked Unit@4b2e64d2at position 623, 1305 at time 1607972173708
Moved to 475, 1333 at time 1607972173745
Moved to 476, 1332 at time 1607972173779
Moved to 477, 1331 at time 1607972173854
Moved to 478, 1330 at time 1607972173889
Moved to 479, 1329 at time 1607972173923
Moved to 480, 1328 at time 1607972173960
Moved to 481, 1327 at time 1607972173995
Moved to 482, 1326 at time 1607972174029
Moved to 483, 1325 at time 1607972174063
Moved to 484, 1324 at time 1607972174098
Moved to 485, 1323 at time 1607972174134
Moved to 486, 1322 at time 1607972174169
Moved to 487, 1321 at time 1607972174205
Moved to 488, 1320 at time 1607972174272
Moved to 489, 1319 at time 1607972174310
Moved to 490, 1318 at time 1607972174345
Moved to 491, 1317 at time 1607972174379
Moved to 492, 1316 at time 1607972174413
Moved to 493, 1315 at time 1607972174447
Moved to 494, 1314 at time 1607972174481
Moved to 495, 1313 at time 1607972174548
Moved to 496, 1312 at time 1607972174582
Moved to 497, 1311 at time 1607972174617
Moved to 498, 1310 at time 1607972174653
Moved to 499, 1309 at time 1607972174688
Moved to 500, 1308 at time 1607972174722
Moved to 501, 1307 at time 1607972174756
Moved to 502, 1306 at time 1607972174790
Moved to 503, 1305 at time 1607972174824
Moved to 504, 1304 at time 1607972174863
Moved to 505, 1303 at time 1607972174898
Moved to 506, 1302 at time 1607972174932
Moved to 507, 1301 at time 1607972174967
Moved to 508, 1300 at time 1607972175002
Moved to 509, 1299 at time 1607972175038
Moved to 510, 1298 at time 1607972175072
Moved to 511, 1297 at time 1607972175106
Moved to 512, 1296 at time 1607972175140
Moved to 513, 1295 at time 1607972175174
Moved to 514, 1294 at time 1607972175208
Moved to 515, 1293 at time 1607972175243
Moved to 516, 1292 at time 1607972175278
Moved to 517, 1291 at time 1607972175313
Moved to 518, 1290 at time 1607972175347
Moved to 519, 1289 at time 1607972175381
Moved to 520, 1288 at time 1607972175415
Moved to 521, 1287 at time 1607972175449
Moved to 522, 1286 at time 1607972175487
Moved to 523, 1285 at time 1607972175522
Moved to 524, 1284 at time 1607972175557
Moved to 525, 1283 at time 1607972175591
Moved to 526, 1282 at time 1607972175625
Moved to 527, 1281 at time 1607972175661
Moved to 528, 1280 at time 1607972175728
Moved to 529, 1279 at time 1607972175762
Moved to 530, 1278 at time 1607972175796
Moved to 531, 1277 at time 1607972175830
Moved to 532, 1276 at time 1607972175864
Moved to 533, 1275 at time 1607972175898
Moved to 534, 1274 at time 1607972175932
Moved to 535, 1273 at time 1607972176000
Moved to 536, 1272 at time 1607972176035
Moved to 537, 1271 at time 1607972176070
Moved to 538, 1270 at time 1607972176104
Moved to 539, 1269 at time 1607972176138
Moved to 540, 1268 at time 1607972176172
Moved to 541, 1267 at time 1607972176206
Moved to 542, 1266 at time 1607972176240
Moved to 543, 1265 at time 1607972176274
Moved to 544, 1264 at time 1607972176308
Moved to 545, 1263 at time 1607972176375
Moved to 546, 1262 at time 1607972176410
Moved to 547, 1261 at time 1607972176444
Moved to 548, 1260 at time 1607972176480
Moved to 549, 1259 at time 1607972176514
Moved to 550, 1258 at time 1607972176551
Moved to 551, 1257 at time 1607972176587
Moved to 552, 1256 at time 1607972176622
Moved to 553, 1255 at time 1607972176657
Moved to 554, 1254 at time 1607972176691
Moved to 555, 1253 at time 1607972176725
Moved to 556, 1252 at time 1607972176762
Moved to 557, 1251 at time 1607972176796
Moved to 558, 1250 at time 1607972176830
Moved to 559, 1249 at time 1607972176865
Moved to 560, 1248 at time 1607972176899
Moved to 561, 1247 at time 1607972176936
Moved to 562, 1246 at time 1607972176972
Moved to 563, 1245 at time 1607972177006
Moved to 564, 1244 at time 1607972177073
Moved to 565, 1243 at time 1607972177107
Moved to 566, 1242 at time 1607972177141
Moved to 567, 1241 at time 1607972177175
Moved to 568, 1240 at time 1607972177209
Moved to 569, 1239 at time 1607972177277
Moved to 570, 1238 at time 1607972177311
Moved to 571, 1237 at time 1607972177345
Moved to 572, 1236 at time 1607972177379
Moved to 573, 1235 at time 1607972177413
Moved to 574, 1234 at time 1607972177447
Moved to 575, 1233 at time 1607972177481
Moved to 576, 1232 at time 1607972177515
Moved to 577, 1231 at time 1607972177552
Moved to 578, 1230 at time 1607972177586
Moved to 579, 1229 at time 1607972177621
Moved to 580, 1228 at time 1607972177656
Moved to 581, 1227 at time 1607972177690
Moved to 582, 1226 at time 1607972177724
Attacked Unit@2fdf5485at position 788, 951 at time 1607972178033
Attacked Unit@3b864d6bat position 856, 981 at time 1607972180548
Moved to 590, 1217 at time 1607972180650
Attacked Unit@385bbd05at position 855, 981 at time 1607972182232
Moved to 591, 1183 at time 1607972183877
Moved to 592, 1182 at time 1607972183911
Moved to 593, 1181 at time 1607972183946
Moved to 594, 1180 at time 1607972183980
Moved to 595, 1179 at time 1607972184014
Moved to 596, 1178 at time 1607972184048
Moved to 597, 1177 at time 1607972184083
Moved to 598, 1176 at time 1607972184150
Moved to 599, 1175 at time 1607972184184
Moved to 600, 1174 at time 1607972184218
Moved to 601, 1173 at time 1607972184255
Moved to 602, 1171 at time 1607972184326
Moved to 603, 1170 at time 1607972184393
Moved to 604, 1169 at time 1607972184427
Moved to 605, 1168 at time 1607972184461
Moved to 606, 1155 at time 1607972184940
Moved to 607, 1154 at time 1607972184974
Moved to 608, 1153 at time 1607972185008
Moved to 609, 1152 at time 1607972185042
Moved to 610, 1151 at time 1607972185076
Moved to 611, 1150 at time 1607972185110
Moved to 612, 1149 at time 1607972185144
Moved to 613, 1148 at time 1607972185179
Moved to 614, 1147 at time 1607972185213
Moved to 615, 1146 at time 1607972185280
Moved to 616, 1145 at time 1607972185315
Moved to 617, 1144 at time 1607972185383
Attacked Unit@13c72192at position 885, 881 at time 1607972185416
Moved to 618, 1143 at time 1607972186527
Moved to 619, 1142 at time 1607972186561
Moved to 620, 1141 at time 1607972186595
Moved to 621, 1140 at time 1607972186630
Moved to 622, 1139 at time 1607972186664
Moved to 623, 1138 at time 1607972186698
Moved to 624, 1137 at time 1607972186765
Moved to 625, 1136 at time 1607972186799
Moved to 626, 1135 at time 1607972186833
Moved to 627, 1134 at time 1607972186867
Moved to 628, 1133 at time 1607972186901
Moved to 629, 1132 at time 1607972186936
Moved to 630, 1131 at time 1607972186971
Attacked Unit@77223622at position 897, 887 at time 1607972187109
Moved to 631, 1130 at time 1607972188237
Moved to 632, 1129 at time 1607972188272
Moved to 633, 1128 at time 1607972188306
Moved to 634, 1127 at time 1607972188340
Moved to 635, 1126 at time 1607972188375
Moved to 636, 1125 at time 1607972188409
Moved to 637, 1124 at time 1607972188444
Moved to 638, 1123 at time 1607972188478
Moved to 639, 1122 at time 1607972188512
Moved to 640, 1121 at time 1607972188579
Moved to 641, 1120 at time 1607972188613
Attacked Unit@56c0359eat position 907, 915 at time 1607972188784
Moved to 642, 1119 at time 1607972189742
Moved to 643, 1118 at time 1607972189777
Moved to 644, 1117 at time 1607972189811
Moved to 645, 1116 at time 1607972189847
Moved to 646, 1115 at time 1607972189881
Moved to 647, 1114 at time 1607972189915
Moved to 648, 1113 at time 1607972189983
Moved to 649, 1112 at time 1607972190050
Moved to 650, 1111 at time 1607972190084
Moved to 651, 1110 at time 1607972190118
Moved to 652, 1109 at time 1607972190153
Moved to 653, 1108 at time 1607972190187
Moved to 654, 1107 at time 1607972190221
Moved to 655, 1106 at time 1607972190255
Moved to 656, 1105 at time 1607972190289
Moved to 657, 1104 at time 1607972190323
Moved to 658, 1103 at time 1607972190357
Moved to 659, 1102 at time 1607972190391
Moved to 660, 1101 at time 1607972190426
Moved to 661, 1100 at time 1607972190460
Moved to 662, 1099 at time 1607972190494
Moved to 663, 1098 at time 1607972190528
Moved to 664, 1097 at time 1607972190562
Moved to 665, 1096 at time 1607972190596
Moved to 666, 1095 at time 1607972190630
Moved to 667, 1094 at time 1607972190664
Moved to 668, 1093 at time 1607972190698
Moved to 669, 1092 at time 1607972190732
