Attacked Unit@32a3852at position 695, 1303 at time 1607972168653
Attacked Unit@66fa39e8at position 636, 1326 at time 1607972170323
Attacked Unit@28c2aee8at position 715, 1306 at time 1607972171995
Attacked Unit@28dae869at position 623, 1358 at time 1607972173684
Moved to 517, 1379 at time 1607972173754
Moved to 518, 1378 at time 1607972173821
Moved to 519, 1377 at time 1607972173856
Moved to 520, 1376 at time 1607972173890
Moved to 521, 1375 at time 1607972173924
Moved to 522, 1374 at time 1607972173960
Moved to 523, 1373 at time 1607972173995
Moved to 524, 1372 at time 1607972174029
Moved to 525, 1371 at time 1607972174064
Moved to 526, 1370 at time 1607972174098
Moved to 527, 1369 at time 1607972174132
Moved to 528, 1368 at time 1607972174166
Moved to 529, 1367 at time 1607972174204
Moved to 530, 1366 at time 1607972174238
Moved to 531, 1365 at time 1607972174273
Moved to 532, 1364 at time 1607972174307
Moved to 533, 1363 at time 1607972174341
Moved to 534, 1362 at time 1607972174376
Moved to 535, 1361 at time 1607972174413
Moved to 536, 1360 at time 1607972174447
Moved to 537, 1359 at time 1607972174481
Moved to 538, 1358 at time 1607972174517
Moved to 539, 1357 at time 1607972174553
Moved to 540, 1356 at time 1607972174587
Moved to 541, 1355 at time 1607972174621
Moved to 542, 1354 at time 1607972174656
Moved to 543, 1353 at time 1607972174690
Moved to 544, 1352 at time 1607972174724
Moved to 545, 1351 at time 1607972174762
Moved to 546, 1350 at time 1607972174797
Moved to 547, 1349 at time 1607972174832
Moved to 548, 1348 at time 1607972174867
Moved to 549, 1347 at time 1607972174901
Moved to 550, 1346 at time 1607972174939
Moved to 551, 1345 at time 1607972174975
Moved to 552, 1344 at time 1607972175011
Moved to 553, 1343 at time 1607972175045
Moved to 554, 1342 at time 1607972175079
Moved to 555, 1341 at time 1607972175113
Moved to 556, 1340 at time 1607972175147
Moved to 557, 1339 at time 1607972175215
Moved to 558, 1338 at time 1607972175250
Moved to 559, 1337 at time 1607972175285
Moved to 560, 1336 at time 1607972175321
Moved to 561, 1335 at time 1607972175355
Moved to 562, 1334 at time 1607972175389
Moved to 563, 1333 at time 1607972175425
Moved to 564, 1332 at time 1607972175459
Moved to 565, 1331 at time 1607972175493
Moved to 566, 1330 at time 1607972175528
Moved to 567, 1329 at time 1607972175563
Moved to 568, 1328 at time 1607972175597
Moved to 569, 1327 at time 1607972175631
Moved to 570, 1326 at time 1607972175698
Moved to 571, 1325 at time 1607972175732
Moved to 572, 1324 at time 1607972175767
Moved to 573, 1323 at time 1607972175802
Moved to 574, 1322 at time 1607972175838
Moved to 575, 1321 at time 1607972175872
Moved to 576, 1320 at time 1607972175906
Moved to 577, 1319 at time 1607972175940
Moved to 578, 1318 at time 1607972176007
Moved to 579, 1317 at time 1607972176041
Moved to 580, 1316 at time 1607972176075
Moved to 581, 1315 at time 1607972176110
Moved to 582, 1314 at time 1607972176144
Moved to 583, 1313 at time 1607972176178
Moved to 584, 1312 at time 1607972176212
Moved to 585, 1311 at time 1607972176246
Moved to 586, 1310 at time 1607972176280
Moved to 587, 1309 at time 1607972176314
Moved to 588, 1308 at time 1607972176381
Moved to 589, 1307 at time 1607972176415
Moved to 590, 1306 at time 1607972176449
Moved to 591, 1305 at time 1607972176484
Moved to 592, 1304 at time 1607972176520
Moved to 593, 1303 at time 1607972176556
Moved to 594, 1302 at time 1607972176590
Moved to 595, 1301 at time 1607972176624
Moved to 596, 1300 at time 1607972176662
Moved to 597, 1299 at time 1607972176696
Moved to 598, 1298 at time 1607972176730
Moved to 599, 1297 at time 1607972176764
Moved to 600, 1296 at time 1607972176798
Moved to 601, 1295 at time 1607972176832
Moved to 602, 1294 at time 1607972176866
Moved to 603, 1293 at time 1607972176900
Moved to 604, 1292 at time 1607972176935
Moved to 605, 1291 at time 1607972176970
Moved to 606, 1290 at time 1607972177005
Moved to 607, 1289 at time 1607972177040
Moved to 608, 1288 at time 1607972177074
Moved to 609, 1287 at time 1607972177108
Moved to 610, 1286 at time 1607972177142
Moved to 611, 1285 at time 1607972177176
Moved to 612, 1284 at time 1607972177211
Moved to 613, 1283 at time 1607972177278
Moved to 614, 1282 at time 1607972177312
Moved to 615, 1281 at time 1607972177346
Moved to 616, 1280 at time 1607972177380
Moved to 617, 1279 at time 1607972177414
Moved to 618, 1278 at time 1607972177448
Moved to 619, 1277 at time 1607972177482
Moved to 620, 1276 at time 1607972177516
Moved to 621, 1275 at time 1607972177554
Moved to 622, 1274 at time 1607972177589
Moved to 623, 1273 at time 1607972177622
Moved to 624, 1272 at time 1607972177656
Moved to 625, 1271 at time 1607972177690
Moved to 626, 1270 at time 1607972177724
Moved to 627, 1269 at time 1607972177761
Moved to 628, 1268 at time 1607972177796
Moved to 629, 1267 at time 1607972177863
Moved to 630, 1266 at time 1607972177897
Moved to 631, 1265 at time 1607972177931
Moved to 632, 1264 at time 1607972177967
Moved to 633, 1263 at time 1607972178002
Moved to 634, 1262 at time 1607972178037
Moved to 635, 1261 at time 1607972178071
Moved to 636, 1260 at time 1607972178107
Moved to 637, 1259 at time 1607972178141
Moved to 638, 1258 at time 1607972178177
Moved to 639, 1257 at time 1607972178212
Moved to 640, 1256 at time 1607972178279
Moved to 641, 1255 at time 1607972178314
Moved to 642, 1254 at time 1607972178348
Moved to 643, 1253 at time 1607972178382
Moved to 644, 1252 at time 1607972178417
Moved to 659, 1250 at time 1607972182447
Moved to 660, 1249 at time 1607972182514
Moved to 661, 1248 at time 1607972182548
Moved to 662, 1247 at time 1607972182582
Moved to 663, 1246 at time 1607972182616
Moved to 664, 1245 at time 1607972182650
Moved to 665, 1244 at time 1607972182684
Moved to 666, 1243 at time 1607972182718
Moved to 667, 1242 at time 1607972182753
Attacked Unit@1d8ae5ffat position 885, 973 at time 1607972184913
Moved to 702, 1240 at time 1607972185014
Moved to 703, 1239 at time 1607972185048
Moved to 704, 1238 at time 1607972185082
Moved to 705, 1237 at time 1607972185116
Moved to 706, 1236 at time 1607972185151
Moved to 707, 1235 at time 1607972185186
Moved to 708, 1234 at time 1607972185221
Moved to 709, 1233 at time 1607972185255
Moved to 711, 1231 at time 1607972185360
Attacked Unit@6cce9779at position 930, 933 at time 1607972188311
