Attacked Unit@36462820at position 399, 1499 at time 1607970313856
Got attacked at 617, 1407 by Unit@5592f177 at time 1607970313883
Attacked Unit@56132794at position 374, 1475 at time 1607970315537
Got attacked at 617, 1407 by Unit@79d53d35 at time 1607970315565
Attacked Unit@169545abat position 363, 1451 at time 1607970317218
Got attacked at 617, 1407 by Unit@79d53d35 at time 1607970317239
Got attacked at 617, 1407 by Unit@5592f177 at time 1607970317274
Attacked Unit@6d29623eat position 437, 1497 at time 1607970318917
Attacked Unit@169545abat position 363, 1451 at time 1607970320612
