Attacked Unit@95973b8at position 1013, 305 at time 1607965644645
Attacked Unit@5bd69869at position 949, 312 at time 1607965646489
Attacked Unit@589f1b38at position 905, 299 at time 1607965707974
Attacked Unit@24bd10dfat position 887, 324 at time 1607965709690
Attacked Unit@793b620cat position 898, 354 at time 1607965711762
Attacked Unit@7507c128at position 957, 419 at time 1607965713966
Moved to 1145, 295 at time 1607965714273
Moved to 1144, 296 at time 1607965714813
Moved to 1143, 297 at time 1607965715153
Moved to 1142, 298 at time 1607965715263
Moved to 1141, 299 at time 1607965715438
Moved to 1140, 300 at time 1607965715597
Moved to 1139, 301 at time 1607965715766
Moved to 1138, 302 at time 1607965716080
Moved to 1137, 303 at time 1607965716141
Moved to 1136, 304 at time 1607965716647
Moved to 1135, 305 at time 1607965716688
Moved to 1134, 306 at time 1607965716891
Moved to 1133, 307 at time 1607965717131
Moved to 1132, 308 at time 1607965717315
Moved to 1131, 309 at time 1607965717501
Moved to 1130, 310 at time 1607965717650
Moved to 1129, 311 at time 1607965717845
Moved to 1128, 312 at time 1607965717886
Moved to 1127, 313 at time 1607965718370
Moved to 1126, 314 at time 1607965718415
Moved to 1125, 315 at time 1607965718603
Moved to 1124, 316 at time 1607965718799
Moved to 1123, 317 at time 1607965718933
Moved to 1122, 318 at time 1607965719259
Moved to 1121, 319 at time 1607965719640
Moved to 1120, 320 at time 1607965720215
Moved to 1119, 321 at time 1607965720714
Moved to 1118, 322 at time 1607965721245
Moved to 1117, 323 at time 1607965721564
Moved to 1116, 324 at time 1607965721705
Moved to 1115, 325 at time 1607965721889
Moved to 1114, 326 at time 1607965722001
Moved to 1115, 327 at time 1607965722168
Moved to 1116, 328 at time 1607965722268
Moved to 1117, 329 at time 1607965722503
Moved to 1118, 330 at time 1607965722898
Moved to 1119, 331 at time 1607965723388
Moved to 1120, 332 at time 1607965723739
Moved to 1121, 333 at time 1607965723807
Moved to 1122, 334 at time 1607965724257
Moved to 1123, 335 at time 1607965724308
Moved to 1124, 336 at time 1607965724739
Moved to 1125, 337 at time 1607965724794
Moved to 1126, 338 at time 1607965725222
Moved to 1127, 339 at time 1607965725284
Moved to 1128, 340 at time 1607965725683
Moved to 1129, 341 at time 1607965725742
Moved to 1130, 342 at time 1607965726141
Moved to 1131, 343 at time 1607965726197
Moved to 1132, 344 at time 1607965726609
Attacked Unit@71e7d033at position 1401, 607 at time 1607965726663
Got attacked at 1132, 344 by Unit@71e7d033 at time 1607965726761
Attacked Unit@71e7d033at position 1401, 607 at time 1607965728384
Got attacked at 1132, 344 by Unit@71e7d033 at time 1607965728547
Got attacked at 1132, 344 by Unit@71e7d033 at time 1607965730259
Attacked Unit@71e7d033at position 1401, 607 at time 1607965730417
Attacked Unit@71e7d033at position 1401, 607 at time 1607965732172
Attacked Unit@71e7d033at position 1401, 607 at time 1607965734081
Moved to 1133, 345 at time 1607965734641
Moved to 1134, 346 at time 1607965734825
Moved to 1135, 347 at time 1607965734871
Moved to 1136, 348 at time 1607965734970
Moved to 1137, 349 at time 1607965735011
Moved to 1138, 350 at time 1607965735109
Moved to 1139, 351 at time 1607965735256
Moved to 1140, 352 at time 1607965735335
Got attacked at 1140, 352 by Unit@18583dfa at time 1607965735472
Attacked Unit@18583dfaat position 1409, 586 at time 1607965735756
Got attacked at 1140, 352 by Unit@b78191e at time 1607965736103
Attacked Unit@18583dfaat position 1409, 586 at time 1607965737428
Got attacked at 1140, 352 by Unit@46146d44 at time 1607965737968
Got attacked at 1140, 352 by Unit@b78191e at time 1607965738056
Died at 1140, 352 at time 1607965738244
