Moved to 312, 2286 at time 1607969349700
Moved to 311, 2285 at time 1607969349813
Moved to 310, 2284 at time 1607969394709
Moved to 309, 2283 at time 1607969394721
Moved to 308, 2282 at time 1607969394826
Moved to 307, 2281 at time 1607969394929
Moved to 306, 2280 at time 1607969394999
Moved to 305, 2279 at time 1607969395013
Moved to 304, 2278 at time 1607969395096
Moved to 303, 2277 at time 1607969395282
Moved to 302, 2276 at time 1607969395585
Moved to 301, 2275 at time 1607969395786
Moved to 300, 2274 at time 1607969396071
Moved to 299, 2273 at time 1607969396095
Moved to 298, 2272 at time 1607969396369
Moved to 297, 2271 at time 1607969396410
Moved to 296, 2270 at time 1607969396766
Moved to 295, 2269 at time 1607969396813
Moved to 294, 2268 at time 1607969396919
Moved to 293, 2267 at time 1607969396938
Moved to 292, 2266 at time 1607969397024
Moved to 291, 2265 at time 1607969397148
Moved to 290, 2264 at time 1607969397160
Moved to 289, 2263 at time 1607969397239
Moved to 288, 2262 at time 1607969397289
Moved to 287, 2261 at time 1607969397403
Moved to 286, 2260 at time 1607969397468
Moved to 285, 2259 at time 1607969397750
Moved to 284, 2258 at time 1607969398029
Moved to 283, 2257 at time 1607969398046
Moved to 282, 2256 at time 1607969398291
Moved to 281, 2255 at time 1607969398340
Moved to 280, 2254 at time 1607969398604
Moved to 279, 2253 at time 1607969398617
Moved to 278, 2252 at time 1607969398709
Moved to 277, 2251 at time 1607969398730
Moved to 276, 2250 at time 1607969398908
Moved to 275, 2249 at time 1607969398920
Moved to 274, 2248 at time 1607969398972
Moved to 273, 2247 at time 1607969399153
Moved to 272, 2246 at time 1607969399169
Moved to 271, 2245 at time 1607969399237
Moved to 270, 2244 at time 1607969399307
Moved to 269, 2243 at time 1607969399378
Moved to 268, 2242 at time 1607969399461
Moved to 267, 2241 at time 1607969399538
Moved to 266, 2240 at time 1607969399600
Moved to 265, 2239 at time 1607969399666
Moved to 264, 2238 at time 1607969399722
Moved to 263, 2237 at time 1607969399817
Moved to 262, 2236 at time 1607969399890
Moved to 261, 2235 at time 1607969399907
Moved to 260, 2234 at time 1607969400069
Moved to 259, 2233 at time 1607969400081
Moved to 258, 2232 at time 1607969400230
Moved to 257, 2231 at time 1607969400320
Moved to 256, 2230 at time 1607969400387
Moved to 255, 2229 at time 1607969400499
Moved to 254, 2228 at time 1607969400602
Moved to 253, 2227 at time 1607969400661
Moved to 252, 2226 at time 1607969400733
Moved to 251, 2225 at time 1607969400772
Moved to 250, 2224 at time 1607969400790
Moved to 249, 2223 at time 1607969400838
Moved to 248, 2222 at time 1607969400851
Moved to 247, 2221 at time 1607969400916
Moved to 246, 2220 at time 1607969400932
Moved to 245, 2219 at time 1607969401018
Moved to 244, 2218 at time 1607969401064
Moved to 243, 2217 at time 1607969401241
Moved to 242, 2216 at time 1607969401316
Moved to 241, 2215 at time 1607969401523
Moved to 240, 2214 at time 1607969401586
Moved to 239, 2213 at time 1607969401791
Moved to 238, 2212 at time 1607969401862
Moved to 237, 2211 at time 1607969402017
Moved to 236, 2210 at time 1607969402109
Moved to 235, 2209 at time 1607969402322
Moved to 234, 2208 at time 1607969402425
Moved to 233, 2207 at time 1607969402623
Moved to 232, 2206 at time 1607969402636
Moved to 231, 2205 at time 1607969402714
Moved to 230, 2204 at time 1607969402904
Moved to 229, 2203 at time 1607969402994
Moved to 228, 2202 at time 1607969403159
Moved to 227, 2201 at time 1607969403183
Moved to 226, 2200 at time 1607969403240
Moved to 225, 2199 at time 1607969403290
Moved to 224, 2198 at time 1607969403444
Moved to 223, 2197 at time 1607969403501
Moved to 222, 2196 at time 1607969403674
Moved to 221, 2195 at time 1607969403724
Moved to 220, 2194 at time 1607969403917
Moved to 219, 2193 at time 1607969403928
Moved to 218, 2192 at time 1607969403941
Moved to 217, 2191 at time 1607969404231
Moved to 216, 2190 at time 1607969404506
Moved to 215, 2189 at time 1607969404680
Moved to 214, 2188 at time 1607969404857
Moved to 213, 2187 at time 1607969405042
Moved to 212, 2186 at time 1607969405207
Moved to 211, 2185 at time 1607969405376
Moved to 210, 2184 at time 1607969405509
Moved to 209, 2183 at time 1607969405572
Moved to 208, 2182 at time 1607969405585
Moved to 207, 2181 at time 1607969405625
Moved to 206, 2180 at time 1607969405651
Moved to 205, 2179 at time 1607969405800
Moved to 204, 2178 at time 1607969405835
Moved to 203, 2177 at time 1607969405990
Moved to 202, 2176 at time 1607969406024
Moved to 201, 2175 at time 1607969406093
Moved to 200, 2174 at time 1607969406151
Moved to 199, 2173 at time 1607969406204
Moved to 198, 2172 at time 1607969406269
Moved to 197, 2171 at time 1607969406324
Moved to 196, 2170 at time 1607969406343
Moved to 195, 2169 at time 1607969406389
Moved to 194, 2168 at time 1607969406419
Moved to 193, 2167 at time 1607969406456
Moved to 192, 2166 at time 1607969406469
Moved to 191, 2165 at time 1607969406529
Moved to 190, 2164 at time 1607969406589
Moved to 189, 2163 at time 1607969406643
Moved to 188, 2162 at time 1607969406736
Moved to 187, 2161 at time 1607969406873
Moved to 186, 2160 at time 1607969406903
Moved to 185, 2159 at time 1607969407067
Moved to 184, 2158 at time 1607969407208
Moved to 183, 2157 at time 1607969407281
Moved to 182, 2156 at time 1607969407410
Moved to 181, 2155 at time 1607969407435
Moved to 180, 2154 at time 1607969407614
Moved to 179, 2153 at time 1607969407722
Moved to 178, 2152 at time 1607969407769
Moved to 177, 2151 at time 1607969407867
Moved to 176, 2150 at time 1607969407891
Moved to 175, 2149 at time 1607969407936
Moved to 174, 2148 at time 1607969407994
Moved to 173, 2147 at time 1607969408042
Moved to 172, 2146 at time 1607969408090
Moved to 171, 2145 at time 1607969408102
Moved to 170, 2144 at time 1607969408137
Moved to 169, 2143 at time 1607969408165
Moved to 168, 2142 at time 1607969408176
Moved to 167, 2141 at time 1607969408194
Moved to 166, 2140 at time 1607969408225
Moved to 165, 2139 at time 1607969408243
Moved to 164, 2138 at time 1607969408276
Moved to 163, 2137 at time 1607969408298
Moved to 162, 2136 at time 1607969408328
Moved to 161, 2135 at time 1607969408354
Moved to 160, 2134 at time 1607969408390
Moved to 159, 2133 at time 1607969408440
Moved to 158, 2132 at time 1607969408452
Moved to 157, 2131 at time 1607969408510
Moved to 156, 2130 at time 1607969408579
Moved to 155, 2129 at time 1607969408656
Moved to 154, 2128 at time 1607969408717
Moved to 153, 2127 at time 1607969408729
Moved to 152, 2126 at time 1607969408793
Moved to 151, 2125 at time 1607969408887
Moved to 150, 2124 at time 1607969408905
Moved to 149, 2123 at time 1607969408969
Moved to 148, 2122 at time 1607969409008
Moved to 147, 2121 at time 1607969409041
Moved to 146, 2120 at time 1607969409061
Moved to 145, 2119 at time 1607969409093
Moved to 144, 2118 at time 1607969409115
Moved to 143, 2117 at time 1607969409140
Moved to 142, 2116 at time 1607969409160
Moved to 141, 2115 at time 1607969409195
Moved to 140, 2114 at time 1607969409209
Moved to 139, 2113 at time 1607969409245
Moved to 138, 2112 at time 1607969409258
Moved to 137, 2111 at time 1607969409304
Moved to 136, 2110 at time 1607969409335
Moved to 135, 2109 at time 1607969409360
Moved to 134, 2108 at time 1607969409391
Moved to 133, 2107 at time 1607969409408
Moved to 132, 2106 at time 1607969409444
Moved to 131, 2105 at time 1607969409465
Moved to 130, 2104 at time 1607969409494
Moved to 129, 2103 at time 1607969409525
Moved to 128, 2102 at time 1607969409545
Moved to 127, 2101 at time 1607969409579
Moved to 126, 2100 at time 1607969409600
Moved to 125, 2099 at time 1607969409625
Moved to 124, 2098 at time 1607969409654
Moved to 123, 2097 at time 1607969409692
Moved to 122, 2096 at time 1607969409727
Moved to 121, 2095 at time 1607969409742
Moved to 120, 2094 at time 1607969409802
Moved to 119, 2093 at time 1607969409870
Moved to 118, 2092 at time 1607969409904
Moved to 117, 2091 at time 1607969409964
Moved to 116, 2090 at time 1607969410023
Moved to 115, 2089 at time 1607969410082
Moved to 114, 2088 at time 1607969410125
Moved to 113, 2087 at time 1607969410188
Moved to 112, 2086 at time 1607969410240
Moved to 111, 2085 at time 1607969410279
Moved to 110, 2084 at time 1607969410290
Moved to 109, 2083 at time 1607969410362
Moved to 108, 2082 at time 1607969410424
Moved to 107, 2081 at time 1607969410469
Moved to 106, 2080 at time 1607969410535
Moved to 105, 2079 at time 1607969410569
Moved to 104, 2078 at time 1607969410582
Moved to 103, 2077 at time 1607969410623
