Attacked Unit@33a13297at position 1037, 1229 at time 1607970910779
Attacked Unit@38d3c64bat position 1052, 1249 at time 1607970946957
Moved to 965, 1164 at time 1607970947004
Moved to 964, 1165 at time 1607970947039
Moved to 963, 1166 at time 1607970947073
Moved to 962, 1170 at time 1607970947739
Moved to 961, 1171 at time 1607970947774
Moved to 960, 1170 at time 1607970947810
Moved to 959, 1169 at time 1607970947844
Moved to 958, 1168 at time 1607970947878
Moved to 957, 1169 at time 1607970947912
Moved to 956, 1170 at time 1607970947946
Moved to 955, 1171 at time 1607970948016
Moved to 954, 1172 at time 1607970948054
Moved to 953, 1173 at time 1607970948088
Moved to 952, 1174 at time 1607970948125
Moved to 951, 1175 at time 1607970948160
Moved to 950, 1176 at time 1607970948195
Moved to 949, 1177 at time 1607970948229
Moved to 948, 1178 at time 1607970948265
Moved to 947, 1179 at time 1607970948300
Moved to 946, 1180 at time 1607970948334
Moved to 945, 1179 at time 1607970948368
Moved to 944, 1180 at time 1607970948402
Moved to 943, 1179 at time 1607970948441
Moved to 942, 1180 at time 1607970948477
Moved to 941, 1179 at time 1607970948512
Moved to 940, 1178 at time 1607970948546
Moved to 939, 1179 at time 1607970948613
Moved to 938, 1178 at time 1607970948650
Moved to 937, 1179 at time 1607970948685
Moved to 936, 1180 at time 1607970948720
Moved to 935, 1179 at time 1607970948756
Moved to 934, 1180 at time 1607970948790
Moved to 933, 1179 at time 1607970948824
Moved to 932, 1180 at time 1607970948858
Moved to 927, 1181 at time 1607970949098
Moved to 924, 1177 at time 1607970949705
Moved to 923, 1178 at time 1607970949740
Moved to 922, 1177 at time 1607970949776
Moved to 921, 1178 at time 1607970949826
Moved to 920, 1177 at time 1607970949861
Moved to 919, 1178 at time 1607970949895
Moved to 912, 1173 at time 1607970950500
Moved to 911, 1172 at time 1607970950536
Moved to 910, 1171 at time 1607970950572
Moved to 909, 1172 at time 1607970950607
Moved to 908, 1171 at time 1607970950642
Moved to 907, 1170 at time 1607970950678
Moved to 906, 1171 at time 1607970950714
Moved to 905, 1170 at time 1607970950753
Moved to 904, 1169 at time 1607970950797
Moved to 903, 1168 at time 1607970950831
Moved to 902, 1167 at time 1607970950865
Moved to 901, 1166 at time 1607970950901
Moved to 900, 1165 at time 1607970950939
Moved to 899, 1164 at time 1607970950974
Moved to 898, 1165 at time 1607970951008
Moved to 897, 1166 at time 1607970951043
Moved to 896, 1165 at time 1607970951078
Moved to 895, 1164 at time 1607970951112
Moved to 894, 1165 at time 1607970951182
Moved to 893, 1164 at time 1607970951216
Moved to 892, 1165 at time 1607970951251
Moved to 891, 1164 at time 1607970951286
Moved to 890, 1165 at time 1607970951320
Moved to 889, 1164 at time 1607970951355
Moved to 888, 1163 at time 1607970951389
Moved to 887, 1164 at time 1607970951424
Moved to 886, 1163 at time 1607970951460
Moved to 885, 1162 at time 1607970951494
Moved to 884, 1161 at time 1607970951529
Moved to 883, 1162 at time 1607970951564
Moved to 882, 1161 at time 1607970951599
Moved to 881, 1162 at time 1607970951635
Moved to 880, 1161 at time 1607970951669
Moved to 879, 1162 at time 1607970951705
Moved to 878, 1161 at time 1607970951739
Moved to 877, 1160 at time 1607970951773
Moved to 876, 1159 at time 1607970951840
Moved to 875, 1158 at time 1607970951874
Moved to 874, 1157 at time 1607970951908
Moved to 873, 1156 at time 1607970951942
Moved to 872, 1155 at time 1607970951977
Moved to 871, 1156 at time 1607970952032
Moved to 870, 1157 at time 1607970952068
Moved to 869, 1158 at time 1607970952104
Moved to 868, 1157 at time 1607970952140
Moved to 867, 1156 at time 1607970952174
Moved to 866, 1157 at time 1607970952241
Moved to 865, 1156 at time 1607970952309
Moved to 864, 1155 at time 1607970952343
Moved to 863, 1154 at time 1607970952377
Moved to 862, 1153 at time 1607970952411
Moved to 861, 1154 at time 1607970952445
Moved to 860, 1155 at time 1607970952479
Moved to 859, 1156 at time 1607970952513
Moved to 858, 1155 at time 1607970952547
Moved to 857, 1156 at time 1607970952581
Moved to 856, 1155 at time 1607970952615
Moved to 855, 1156 at time 1607970952649
Moved to 854, 1157 at time 1607970952683
Moved to 853, 1156 at time 1607970952718
Moved to 852, 1157 at time 1607970952752
Moved to 851, 1158 at time 1607970952787
Moved to 850, 1159 at time 1607970952821
Moved to 849, 1160 at time 1607970952855
Moved to 848, 1159 at time 1607970952889
Moved to 847, 1160 at time 1607970952923
Moved to 846, 1161 at time 1607970952957
Moved to 845, 1160 at time 1607970952991
Moved to 844, 1159 at time 1607970953025
Moved to 843, 1158 at time 1607970953092
Moved to 842, 1157 at time 1607970953127
Moved to 841, 1158 at time 1607970953160
Moved to 840, 1159 at time 1607970953194
Moved to 839, 1160 at time 1607970953228
Moved to 838, 1161 at time 1607970953262
Moved to 837, 1160 at time 1607970953296
Moved to 836, 1159 at time 1607970953330
Moved to 835, 1160 at time 1607970953364
Moved to 834, 1159 at time 1607970953398
Moved to 833, 1158 at time 1607970953432
Moved to 832, 1157 at time 1607970953466
Moved to 831, 1156 at time 1607970953500
Moved to 830, 1155 at time 1607970953534
Moved to 829, 1154 at time 1607970953570
Moved to 828, 1153 at time 1607970953604
Moved to 827, 1152 at time 1607970953639
Moved to 826, 1153 at time 1607970953673
Moved to 825, 1152 at time 1607970953707
Moved to 824, 1151 at time 1607970953741
Moved to 823, 1152 at time 1607970953780
Moved to 822, 1151 at time 1607970953814
Moved to 821, 1150 at time 1607970953849
Moved to 820, 1149 at time 1607970953883
Moved to 819, 1148 at time 1607970953919
Moved to 818, 1147 at time 1607970953953
