Attacked Unit@213766beat position 935, 890 at time 1607972168636
Moved to 977, 916 at time 1607972168690
Moved to 976, 917 at time 1607972179499
Moved to 975, 918 at time 1607972179550
Moved to 974, 919 at time 1607972179601
Moved to 973, 920 at time 1607972179652
Moved to 972, 921 at time 1607972179706
Moved to 971, 922 at time 1607972179759
Moved to 970, 923 at time 1607972179860
Moved to 969, 924 at time 1607972179911
Moved to 968, 925 at time 1607972179962
Moved to 949, 926 at time 1607972181095
Moved to 948, 927 at time 1607972181196
Moved to 947, 928 at time 1607972181247
Moved to 946, 929 at time 1607972181298
Moved to 945, 930 at time 1607972181349
Moved to 944, 931 at time 1607972181400
Moved to 943, 932 at time 1607972181451
Moved to 942, 933 at time 1607972181502
Moved to 941, 934 at time 1607972181553
Moved to 940, 935 at time 1607972181606
Moved to 939, 936 at time 1607972181657
Moved to 938, 937 at time 1607972181708
Moved to 937, 938 at time 1607972181759
Moved to 936, 939 at time 1607972181860
Moved to 935, 940 at time 1607972181911
Moved to 934, 941 at time 1607972181962
Moved to 933, 942 at time 1607972182015
Moved to 932, 943 at time 1607972182116
Moved to 931, 944 at time 1607972182167
Moved to 930, 945 at time 1607972182218
Moved to 929, 946 at time 1607972182270
Moved to 928, 947 at time 1607972182321
Moved to 927, 948 at time 1607972182372
Moved to 926, 949 at time 1607972182424
Moved to 925, 950 at time 1607972182475
Moved to 924, 951 at time 1607972182576
Moved to 923, 952 at time 1607972182627
Moved to 922, 953 at time 1607972182678
Got attacked at 922, 953 by Unit@44c7fdca at time 1607972182728
Moved to 921, 954 at time 1607972182730
Moved to 907, 955 at time 1607972183596
Moved to 906, 956 at time 1607972183648
Moved to 905, 957 at time 1607972183699
Moved to 904, 958 at time 1607972183750
Got attacked at 904, 958 by Unit@7b083e9d at time 1607972183752
Moved to 903, 959 at time 1607972183851
Moved to 902, 960 at time 1607972183903
Moved to 901, 961 at time 1607972183955
Got attacked at 901, 961 by Unit@3fea9e96 at time 1607972183961
Moved to 900, 962 at time 1607972184009
Moved to 899, 963 at time 1607972184061
Moved to 898, 964 at time 1607972184163
Moved to 897, 965 at time 1607972184214
Moved to 896, 966 at time 1607972184265
Got attacked at 896, 966 by Unit@54de08b1 at time 1607972184267
Moved to 895, 967 at time 1607972184317
Moved to 894, 968 at time 1607972184368
Got attacked at 894, 968 by Unit@44c7fdca at time 1607972184397
Moved to 893, 969 at time 1607972184469
Moved to 892, 970 at time 1607972184520
Moved to 891, 969 at time 1607972184576
Moved to 890, 970 at time 1607972184629
Moved to 889, 971 at time 1607972184680
Got attacked at 889, 971 by Unit@4003a1c at time 1607972184693
Moved to 888, 972 at time 1607972184731
Moved to 887, 971 at time 1607972184783
Moved to 886, 972 at time 1607972184834
Moved to 885, 973 at time 1607972184885
Got attacked at 885, 973 by Unit@6702b37a at time 1607972184913
Died at 885, 973 at time 1607972184935
