Attacked Unit@6f4a299at position 266, 1091 at time 1607967053353
Attacked Unit@9f4b62aat position 226, 1080 at time 1607967097436
Attacked Unit@28bb3d8aat position 360, 1066 at time 1607967099771
Moved to 241, 1298 at time 1607967100178
Moved to 240, 1297 at time 1607967100643
Moved to 241, 1296 at time 1607967101275
Moved to 242, 1295 at time 1607967101775
Moved to 243, 1294 at time 1607967101924
Moved to 244, 1293 at time 1607967102105
Moved to 243, 1292 at time 1607967102290
Moved to 242, 1291 at time 1607967102592
Moved to 241, 1290 at time 1607967103106
Moved to 240, 1289 at time 1607967103179
Moved to 241, 1288 at time 1607967103406
Moved to 242, 1287 at time 1607967103578
Moved to 241, 1286 at time 1607967103714
Moved to 240, 1285 at time 1607967103890
Moved to 239, 1284 at time 1607967104050
Moved to 240, 1283 at time 1607967104329
Moved to 239, 1282 at time 1607967104505
Moved to 238, 1281 at time 1607967104653
Moved to 237, 1280 at time 1607967104892
Moved to 236, 1279 at time 1607967105127
Moved to 235, 1278 at time 1607967105448
Moved to 236, 1277 at time 1607967105829
Moved to 235, 1276 at time 1607967105974
Moved to 234, 1275 at time 1607967106008
Moved to 233, 1274 at time 1607967106110
Moved to 232, 1273 at time 1607967106427
Moved to 233, 1272 at time 1607967106828
Moved to 232, 1271 at time 1607967107185
Moved to 233, 1270 at time 1607967107507
Moved to 234, 1269 at time 1607967107683
Moved to 235, 1268 at time 1607967108014
Moved to 236, 1267 at time 1607967108094
Moved to 237, 1266 at time 1607967108254
Moved to 238, 1265 at time 1607967108351
Moved to 239, 1264 at time 1607967108479
Moved to 240, 1265 at time 1607967108595
Moved to 239, 1264 at time 1607967108864
Moved to 240, 1263 at time 1607967109277
Moved to 239, 1262 at time 1607967109751
Moved to 240, 1261 at time 1607967109997
Moved to 241, 1260 at time 1607967110298
Moved to 242, 1259 at time 1607967110335
Moved to 243, 1258 at time 1607967110664
Moved to 242, 1257 at time 1607967110785
Moved to 243, 1256 at time 1607967111077
Moved to 244, 1255 at time 1607967111202
Moved to 245, 1254 at time 1607967111523
Moved to 246, 1253 at time 1607967111634
Moved to 245, 1252 at time 1607967111901
Moved to 244, 1251 at time 1607967111935
Moved to 245, 1252 at time 1607967112206
Moved to 244, 1251 at time 1607967112330
Moved to 245, 1252 at time 1607967112545
Moved to 246, 1251 at time 1607967112680
Moved to 245, 1250 at time 1607967113114
Moved to 244, 1249 at time 1607967113260
Moved to 245, 1248 at time 1607967113564
Moved to 244, 1247 at time 1607967113738
Moved to 243, 1246 at time 1607967114011
Moved to 242, 1245 at time 1607967114177
Moved to 244, 1243 at time 1607967115077
Moved to 243, 1242 at time 1607967115267
Moved to 242, 1241 at time 1607967115498
Moved to 241, 1240 at time 1607967115600
Moved to 240, 1239 at time 1607967115863
Moved to 241, 1238 at time 1607967115947
Moved to 241, 1237 at time 1607967116234
Moved to 242, 1236 at time 1607967116463
Moved to 241, 1235 at time 1607967116621
Moved to 242, 1234 at time 1607967116846
Got attacked at 242, 1234 by Unit@31aa46fa at time 1607967116977
Got attacked at 242, 1234 by Unit@4184549a at time 1607967116978
Attacked Unit@14540c9fat position 200, 965 at time 1607967117062
Got attacked at 242, 1234 by Unit@14540c9f at time 1607967117556
Got attacked at 242, 1234 by Unit@c15a3fd at time 1607967118552
Attacked Unit@4184549aat position 332, 965 at time 1607967118779
Got attacked at 242, 1234 by Unit@4184549a at time 1607967118836
Got attacked at 242, 1234 by Unit@31aa46fa at time 1607967118878
Got attacked at 242, 1234 by Unit@14540c9f at time 1607967119369
Died at 242, 1234 at time 1607967119373
