Attacked Unit@7fb67c16at position 656, 1298 at time 1607972168622
Moved to 690, 1219 at time 1607972185047
Moved to 691, 1218 at time 1607972185081
Moved to 692, 1217 at time 1607972185116
Moved to 693, 1216 at time 1607972185151
Moved to 694, 1215 at time 1607972185185
Moved to 695, 1214 at time 1607972185219
Moved to 696, 1213 at time 1607972185255
Moved to 697, 1212 at time 1607972185291
Moved to 698, 1211 at time 1607972185326
Moved to 699, 1210 at time 1607972185360
Moved to 700, 1209 at time 1607972185394
Moved to 701, 1208 at time 1607972185429
Moved to 702, 1207 at time 1607972185497
Moved to 703, 1206 at time 1607972185530
Moved to 704, 1205 at time 1607972185564
Moved to 705, 1204 at time 1607972185598
Moved to 706, 1203 at time 1607972185632
Moved to 707, 1202 at time 1607972185666
Moved to 708, 1201 at time 1607972185700
Moved to 709, 1200 at time 1607972185734
Moved to 710, 1199 at time 1607972185768
Moved to 711, 1198 at time 1607972185802
Moved to 712, 1197 at time 1607972185870
Moved to 713, 1196 at time 1607972185905
Moved to 714, 1195 at time 1607972185939
Moved to 715, 1194 at time 1607972185973
Moved to 716, 1193 at time 1607972186008
Moved to 717, 1192 at time 1607972186043
Moved to 718, 1191 at time 1607972186078
Moved to 719, 1190 at time 1607972186114
Moved to 720, 1189 at time 1607972186149
Moved to 721, 1188 at time 1607972186186
Moved to 722, 1187 at time 1607972186221
Moved to 723, 1186 at time 1607972186256
Moved to 724, 1185 at time 1607972186291
Moved to 725, 1184 at time 1607972186325
Moved to 726, 1183 at time 1607972186359
Moved to 727, 1182 at time 1607972186393
Attacked Unit@6cce9779at position 964, 914 at time 1607972186427
Attacked Unit@6cce9779at position 934, 931 at time 1607972188107
Moved to 728, 1181 at time 1607972188346
Moved to 729, 1180 at time 1607972188380
Moved to 730, 1179 at time 1607972188415
Moved to 731, 1178 at time 1607972189750
Attacked Unit@3973be63at position 1000, 1000 at time 1607972189783
