Moved to 1071, 549 at time 1607965746148
Moved to 1070, 548 at time 1607965746388
Moved to 1069, 547 at time 1607965746515
Moved to 1068, 546 at time 1607965746715
Moved to 1067, 545 at time 1607965746844
Moved to 1066, 544 at time 1607965747071
Moved to 1065, 543 at time 1607965747201
Moved to 1064, 542 at time 1607965747413
Moved to 1063, 541 at time 1607965747566
Moved to 1062, 540 at time 1607965747774
Moved to 1061, 539 at time 1607965747918
Moved to 1060, 538 at time 1607965748109
Moved to 1059, 537 at time 1607965748154
Moved to 1058, 536 at time 1607965748233
Moved to 1057, 535 at time 1607965748367
Moved to 1056, 534 at time 1607965748457
Moved to 1055, 533 at time 1607965748558
Moved to 1054, 532 at time 1607965748632
Moved to 1053, 531 at time 1607965748799
Moved to 1052, 530 at time 1607965748863
Moved to 1051, 529 at time 1607965748975
Moved to 1050, 528 at time 1607965749042
Moved to 1049, 527 at time 1607965749312
Moved to 1048, 526 at time 1607965749646
Moved to 1047, 525 at time 1607965749684
Moved to 1046, 524 at time 1607965750048
Moved to 1045, 523 at time 1607965750480
Moved to 1044, 522 at time 1607965750850
Moved to 1043, 521 at time 1607965751256
Moved to 1042, 520 at time 1607965751604
Moved to 1041, 519 at time 1607965751934
Moved to 1040, 518 at time 1607965752072
Moved to 1039, 517 at time 1607965752186
Moved to 1038, 516 at time 1607965752434
Moved to 1037, 515 at time 1607965752475
Moved to 1036, 514 at time 1607965752806
Moved to 1035, 513 at time 1607965752859
Moved to 1034, 512 at time 1607965752897
Moved to 1033, 511 at time 1607965753181
Moved to 1032, 510 at time 1607965753285
Moved to 1031, 509 at time 1607965753566
Moved to 1030, 508 at time 1607965753675
Moved to 1029, 507 at time 1607965753978
Moved to 1028, 506 at time 1607965754083
Moved to 1027, 505 at time 1607965754361
Moved to 1026, 504 at time 1607965754732
Moved to 1025, 503 at time 1607965754869
Moved to 1024, 502 at time 1607965755098
Moved to 1023, 501 at time 1607965755246
Moved to 1022, 500 at time 1607965755473
Moved to 1021, 499 at time 1607965755625
Moved to 1020, 498 at time 1607965755860
Moved to 1019, 497 at time 1607965756006
Moved to 1018, 496 at time 1607965756234
Moved to 1017, 495 at time 1607965756390
Moved to 1016, 494 at time 1607965756624
Moved to 1015, 493 at time 1607965756776
Moved to 1014, 492 at time 1607965756940
Moved to 1013, 491 at time 1607965757084
Moved to 1012, 490 at time 1607965757310
Moved to 1011, 489 at time 1607965757475
Moved to 1010, 488 at time 1607965757687
Moved to 1009, 487 at time 1607965757852
Moved to 1008, 486 at time 1607965758077
Moved to 1007, 484 at time 1607965758456
Moved to 1006, 482 at time 1607965758891
Moved to 1005, 481 at time 1607965759054
Moved to 1004, 480 at time 1607965759276
Moved to 1003, 478 at time 1607965759656
Moved to 1002, 476 at time 1607965760018
Moved to 1001, 475 at time 1607965760066
Moved to 1000, 474 at time 1607965760134
Moved to 999, 473 at time 1607965760174
