Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644383
Moved to 398, 600 at time 1607965646113
Moved to 397, 601 at time 1607965646590
Moved to 396, 602 at time 1607965707941
Moved to 395, 603 at time 1607965708060
Moved to 394, 604 at time 1607965708190
Moved to 393, 605 at time 1607965708275
Moved to 392, 606 at time 1607965708495
Moved to 391, 607 at time 1607965708542
Moved to 390, 608 at time 1607965708726
Moved to 389, 609 at time 1607965708765
Moved to 388, 610 at time 1607965708936
Moved to 387, 611 at time 1607965708984
Moved to 386, 612 at time 1607965709134
Moved to 385, 613 at time 1607965709324
Moved to 384, 614 at time 1607965709500
Moved to 383, 615 at time 1607965710019
Moved to 382, 616 at time 1607965710647
Moved to 381, 617 at time 1607965711085
Moved to 380, 618 at time 1607965711134
Moved to 379, 619 at time 1607965711493
Moved to 378, 620 at time 1607965711531
Moved to 377, 621 at time 1607965712134
Moved to 376, 622 at time 1607965712209
Moved to 375, 623 at time 1607965712622
Moved to 374, 624 at time 1607965713075
Moved to 373, 625 at time 1607965713671
Moved to 372, 626 at time 1607965713750
Moved to 371, 627 at time 1607965714110
Moved to 370, 628 at time 1607965714570
Moved to 369, 629 at time 1607965715052
Moved to 368, 630 at time 1607965715204
Moved to 367, 631 at time 1607965715346
Moved to 366, 632 at time 1607965715380
Moved to 365, 633 at time 1607965715500
Moved to 364, 634 at time 1607965715545
Moved to 363, 635 at time 1607965715650
Moved to 362, 636 at time 1607965715717
Moved to 361, 637 at time 1607965715834
Moved to 362, 638 at time 1607965715950
Moved to 363, 639 at time 1607965716292
Moved to 364, 640 at time 1607965716462
Moved to 365, 641 at time 1607965716756
Moved to 366, 642 at time 1607965716822
Moved to 367, 643 at time 1607965716951
Moved to 368, 644 at time 1607965717074
Moved to 369, 645 at time 1607965717189
Moved to 370, 646 at time 1607965717254
Moved to 371, 647 at time 1607965717379
Moved to 372, 648 at time 1607965717414
Moved to 373, 649 at time 1607965717571
Moved to 374, 650 at time 1607965717731
Moved to 375, 651 at time 1607965718078
Moved to 376, 652 at time 1607965718167
Moved to 377, 653 at time 1607965718526
Moved to 378, 654 at time 1607965718699
Moved to 379, 655 at time 1607965718868
Moved to 380, 656 at time 1607965719065
Moved to 381, 657 at time 1607965719104
Moved to 382, 658 at time 1607965719487
Moved to 383, 659 at time 1607965719831
Moved to 384, 660 at time 1607965720002
Moved to 385, 661 at time 1607965720037
Moved to 386, 662 at time 1607965720347
Moved to 387, 663 at time 1607965720576
Moved to 388, 664 at time 1607965720858
Moved to 389, 665 at time 1607965721098
Moved to 390, 666 at time 1607965721386
Moved to 391, 667 at time 1607965721502
Moved to 392, 668 at time 1607965721601
Moved to 393, 669 at time 1607965721671
Moved to 394, 670 at time 1607965721766
Moved to 395, 671 at time 1607965721838
Moved to 396, 672 at time 1607965721916
Moved to 397, 673 at time 1607965721971
Moved to 398, 674 at time 1607965722062
Moved to 399, 675 at time 1607965722117
Moved to 400, 676 at time 1607965722187
Moved to 401, 677 at time 1607965722251
Moved to 402, 678 at time 1607965722320
Moved to 403, 679 at time 1607965722369
Moved to 404, 680 at time 1607965722619
Moved to 405, 681 at time 1607965722781
Moved to 406, 682 at time 1607965723058
Moved to 407, 683 at time 1607965723249
Moved to 408, 684 at time 1607965723455
Moved to 409, 685 at time 1607965723599
Moved to 410, 686 at time 1607965723939
Moved to 411, 687 at time 1607965724137
Moved to 412, 688 at time 1607965724421
Moved to 413, 689 at time 1607965724624
Moved to 414, 690 at time 1607965724916
Moved to 415, 691 at time 1607965725117
Moved to 416, 692 at time 1607965725395
Moved to 417, 695 at time 1607965725876
Moved to 418, 697 at time 1607965726340
Moved to 419, 699 at time 1607965726805
