Attacked Unit@213766beat position 935, 890 at time 1607972168653
Moved to 924, 915 at time 1607972168707
Moved to 923, 916 at time 1607972176709
Moved to 922, 917 at time 1607972176762
Moved to 921, 918 at time 1607972176813
Moved to 920, 919 at time 1607972176864
Moved to 919, 920 at time 1607972176915
Moved to 918, 921 at time 1607972176966
Moved to 917, 922 at time 1607972177017
Moved to 916, 923 at time 1607972177070
Moved to 915, 924 at time 1607972177129
Moved to 914, 925 at time 1607972177180
Moved to 913, 926 at time 1607972177231
Moved to 912, 927 at time 1607972177283
Moved to 911, 928 at time 1607972177336
Moved to 910, 929 at time 1607972177387
Moved to 909, 930 at time 1607972177439
Moved to 908, 931 at time 1607972177490
Moved to 907, 932 at time 1607972177541
Moved to 906, 933 at time 1607972177592
Moved to 905, 934 at time 1607972177694
Moved to 904, 935 at time 1607972177748
Moved to 903, 936 at time 1607972177799
Moved to 902, 937 at time 1607972177901
Moved to 901, 938 at time 1607972177952
Moved to 900, 939 at time 1607972178004
Moved to 899, 940 at time 1607972178055
Moved to 898, 941 at time 1607972178106
Moved to 897, 942 at time 1607972178157
Moved to 896, 943 at time 1607972178208
Moved to 895, 944 at time 1607972178309
Moved to 894, 945 at time 1607972178360
Moved to 893, 946 at time 1607972178412
Moved to 892, 947 at time 1607972178464
Moved to 891, 948 at time 1607972178515
Moved to 890, 949 at time 1607972178566
Moved to 889, 950 at time 1607972178617
Moved to 888, 951 at time 1607972178668
Moved to 887, 952 at time 1607972178722
Moved to 886, 953 at time 1607972178773
Moved to 885, 954 at time 1607972178824
Moved to 884, 955 at time 1607972178875
Moved to 883, 956 at time 1607972178926
Moved to 882, 957 at time 1607972179028
Moved to 881, 958 at time 1607972179079
Moved to 880, 959 at time 1607972179130
Moved to 879, 960 at time 1607972179182
Got attacked at 879, 960 by Unit@54de08b1 at time 1607972179223
Moved to 878, 961 at time 1607972179233
Moved to 877, 962 at time 1607972179284
Moved to 876, 963 at time 1607972179386
Moved to 875, 964 at time 1607972179438
Moved to 874, 965 at time 1607972179491
Moved to 873, 966 at time 1607972179542
Moved to 872, 967 at time 1607972179594
Moved to 871, 968 at time 1607972179648
Got attacked at 871, 968 by Unit@4003a1c at time 1607972179649
Moved to 870, 969 at time 1607972179698
Moved to 869, 970 at time 1607972179749
Moved to 868, 971 at time 1607972179850
Moved to 867, 972 at time 1607972179901
Moved to 866, 973 at time 1607972179954
Moved to 865, 974 at time 1607972180007
Moved to 864, 975 at time 1607972180059
Moved to 863, 976 at time 1607972180110
Moved to 862, 977 at time 1607972180161
Moved to 861, 978 at time 1607972180213
Moved to 860, 979 at time 1607972180266
Moved to 859, 980 at time 1607972180317
Moved to 858, 981 at time 1607972180373
Got attacked at 858, 981 by Unit@7b083e9d at time 1607972180400
Got attacked at 858, 981 by Unit@7399b729 at time 1607972180412
Got attacked at 857, 981 by Unit@45ac46da at time 1607972180507
Got attacked at 856, 981 by Unit@6067060f at time 1607972180548
Got attacked at 855, 981 by Unit@3fea9e96 at time 1607972180600
Died at 854, 981 at time 1607972180629
