Attacked Unit@786bb298at position 1015, 776 at time 1607905321848
Attacked Unit@46696dfbat position 1098, 694 at time 1607905465188
Moved to 1190, 942 at time 1607905467020
Moved to 1189, 941 at time 1607905467183
Moved to 1188, 940 at time 1607905467371
Moved to 1187, 939 at time 1607905467571
Moved to 1186, 938 at time 1607905467605
Moved to 1185, 937 at time 1607905467738
Moved to 1184, 936 at time 1607905467902
Moved to 1183, 935 at time 1607905468052
Moved to 1182, 934 at time 1607905468199
Moved to 1181, 933 at time 1607905468350
Moved to 1180, 932 at time 1607905468504
Moved to 1179, 931 at time 1607905468668
Moved to 1178, 930 at time 1607905468806
Moved to 1177, 929 at time 1607905468968
Moved to 1176, 928 at time 1607905469006
Moved to 1175, 927 at time 1607905469177
Moved to 1174, 926 at time 1607905469223
Moved to 1173, 925 at time 1607905469339
Moved to 1172, 924 at time 1607905469483
Moved to 1171, 923 at time 1607905469636
Moved to 1170, 922 at time 1607905469755
Moved to 1169, 921 at time 1607905469851
Moved to 1168, 920 at time 1607905469998
Moved to 1167, 919 at time 1607905470152
Moved to 1166, 918 at time 1607905470204
Moved to 1165, 917 at time 1607905470296
Moved to 1164, 916 at time 1607905470338
Moved to 1163, 915 at time 1607905470489
Moved to 1162, 914 at time 1607905470656
Moved to 1161, 913 at time 1607905470722
Moved to 1160, 912 at time 1607905470823
Moved to 1159, 911 at time 1607905470929
Moved to 1158, 910 at time 1607905470979
Moved to 1157, 909 at time 1607905471116
Moved to 1156, 908 at time 1607905471224
Moved to 1155, 907 at time 1607905471285
Moved to 1154, 906 at time 1607905471387
Moved to 1153, 905 at time 1607905471439
Moved to 1152, 904 at time 1607905471540
Moved to 1151, 903 at time 1607905471646
Moved to 1150, 902 at time 1607905471718
Moved to 1149, 901 at time 1607905471811
Moved to 1148, 900 at time 1607905471880
Moved to 1147, 899 at time 1607905471985
Moved to 1146, 898 at time 1607905472045
Moved to 1145, 897 at time 1607905472142
Moved to 1144, 896 at time 1607905472241
Moved to 1143, 895 at time 1607905472289
Moved to 1142, 894 at time 1607905472420
Moved to 1141, 893 at time 1607905472476
Moved to 1140, 892 at time 1607905472559
Moved to 1139, 891 at time 1607905472610
Moved to 1138, 890 at time 1607905472713
Moved to 1137, 889 at time 1607905472802
Moved to 1136, 888 at time 1607905472893
Moved to 1135, 887 at time 1607905472935
Moved to 1134, 886 at time 1607905473020
Moved to 1133, 885 at time 1607905473107
Moved to 1132, 884 at time 1607905473196
Moved to 1131, 883 at time 1607905473236
Moved to 1130, 882 at time 1607905473310
Moved to 1129, 881 at time 1607905473397
Moved to 1128, 880 at time 1607905473436
Moved to 1127, 879 at time 1607905473504
Moved to 1126, 878 at time 1607905473543
Moved to 1125, 877 at time 1607905473622
Moved to 1124, 876 at time 1607905473713
Moved to 1123, 875 at time 1607905473753
Moved to 1122, 874 at time 1607905473809
Moved to 1121, 873 at time 1607905473894
Moved to 1120, 872 at time 1607905473969
Moved to 1119, 871 at time 1607905474048
Moved to 1118, 870 at time 1607905474172
Moved to 1117, 869 at time 1607905474256
Moved to 1116, 868 at time 1607905474295
Moved to 1115, 867 at time 1607905474351
Moved to 1114, 866 at time 1607905474392
Moved to 1113, 865 at time 1607905474471
Moved to 1112, 864 at time 1607905474523
Moved to 1111, 863 at time 1607905474574
Moved to 1110, 862 at time 1607905474635
Moved to 1109, 861 at time 1607905474675
Moved to 1108, 860 at time 1607905474757
Moved to 1107, 859 at time 1607905474807
Moved to 1106, 858 at time 1607905474859
