Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644584
Moved to 506, 632 at time 1607965741424
Moved to 507, 633 at time 1607965741808
Moved to 508, 634 at time 1607965742012
Moved to 509, 635 at time 1607965742236
Moved to 510, 636 at time 1607965742278
Moved to 511, 637 at time 1607965742334
Moved to 510, 652 at time 1607965745540
Moved to 509, 651 at time 1607965745947
Moved to 508, 650 at time 1607965746227
Moved to 507, 649 at time 1607965746304
Moved to 506, 648 at time 1607965746583
Moved to 505, 647 at time 1607965746670
Moved to 504, 646 at time 1607965746912
Moved to 503, 645 at time 1607965746996
Moved to 502, 644 at time 1607965747268
Moved to 501, 643 at time 1607965747347
Moved to 500, 642 at time 1607965747632
Moved to 499, 641 at time 1607965747703
Moved to 498, 640 at time 1607965747983
Moved to 497, 639 at time 1607965748058
Moved to 496, 638 at time 1607965748184
Moved to 495, 637 at time 1607965748309
Moved to 494, 636 at time 1607965748409
Moved to 493, 635 at time 1607965748515
Moved to 492, 634 at time 1607965748549
Moved to 491, 633 at time 1607965748647
Moved to 490, 632 at time 1607965748787
Moved to 489, 631 at time 1607965748874
Moved to 488, 630 at time 1607965748964
Moved to 487, 629 at time 1607965749050
Moved to 486, 628 at time 1607965749290
Moved to 485, 627 at time 1607965749674
Moved to 484, 626 at time 1607965750058
Moved to 483, 625 at time 1607965750476
Moved to 482, 624 at time 1607965750851
Moved to 481, 623 at time 1607965751255
Moved to 480, 622 at time 1607965751602
Moved to 479, 621 at time 1607965751935
Moved to 478, 620 at time 1607965752070
Moved to 477, 619 at time 1607965752188
Moved to 476, 618 at time 1607965752427
Moved to 475, 617 at time 1607965752488
Moved to 474, 616 at time 1607965752796
Moved to 473, 615 at time 1607965752872
Moved to 472, 614 at time 1607965753199
Moved to 471, 613 at time 1607965753269
Moved to 470, 612 at time 1607965753578
Moved to 469, 611 at time 1607965753658
Moved to 468, 610 at time 1607965753995
Moved to 467, 609 at time 1607965754060
Moved to 466, 608 at time 1607965754379
Moved to 465, 607 at time 1607965754445
Moved to 464, 606 at time 1607965754781
Moved to 463, 605 at time 1607965754823
Moved to 462, 604 at time 1607965755148
Moved to 461, 603 at time 1607965755199
Moved to 460, 602 at time 1607965755524
Moved to 459, 601 at time 1607965755576
Moved to 458, 600 at time 1607965755909
Moved to 457, 599 at time 1607965755962
Moved to 456, 598 at time 1607965756284
Moved to 455, 597 at time 1607965756335
Moved to 454, 596 at time 1607965756677
Moved to 453, 595 at time 1607965756718
Moved to 452, 594 at time 1607965756978
Moved to 451, 593 at time 1607965757034
Moved to 450, 592 at time 1607965757364
Moved to 449, 591 at time 1607965757423
Moved to 448, 590 at time 1607965757745
Moved to 447, 589 at time 1607965757800
Moved to 446, 588 at time 1607965758120
Moved to 445, 587 at time 1607965758192
Moved to 444, 586 at time 1607965758502
Moved to 443, 585 at time 1607965758581
Moved to 442, 584 at time 1607965758943
Moved to 441, 583 at time 1607965759003
Moved to 440, 582 at time 1607965759327
Moved to 439, 581 at time 1607965759387
Moved to 438, 580 at time 1607965759712
Moved to 437, 579 at time 1607965759771
Moved to 436, 578 at time 1607965760035
Moved to 435, 577 at time 1607965760156
Moved to 434, 576 at time 1607965760266
Moved to 433, 575 at time 1607965760372
Moved to 432, 574 at time 1607965760487
Moved to 431, 573 at time 1607965760604
Moved to 430, 572 at time 1607965760681
Moved to 429, 571 at time 1607965760715
Moved to 428, 570 at time 1607965760812
Moved to 427, 569 at time 1607965760872
Moved to 426, 568 at time 1607965760981
Moved to 425, 567 at time 1607965761031
Moved to 424, 566 at time 1607965761188
Moved to 423, 565 at time 1607965761371
Moved to 422, 564 at time 1607965761471
Moved to 421, 563 at time 1607965761608
Moved to 420, 562 at time 1607965761691
Moved to 419, 561 at time 1607965761836
Moved to 418, 560 at time 1607965761904
Moved to 417, 559 at time 1607965762005
Moved to 416, 558 at time 1607965762083
Moved to 415, 557 at time 1607965762203
Moved to 414, 556 at time 1607965762278
Moved to 413, 555 at time 1607965762370
Moved to 412, 554 at time 1607965762471
Moved to 411, 553 at time 1607965762580
Moved to 410, 552 at time 1607965762653
Moved to 409, 551 at time 1607965762753
