Attacked Unit@213766beat position 935, 890 at time 1607972168653
Moved to 985, 893 at time 1607972168707
Moved to 984, 894 at time 1607972185323
Moved to 983, 895 at time 1607972185375
Moved to 982, 896 at time 1607972185427
Moved to 981, 897 at time 1607972185478
Moved to 980, 898 at time 1607972185530
Moved to 979, 899 at time 1607972185581
Moved to 978, 900 at time 1607972185632
Moved to 977, 901 at time 1607972185684
Moved to 976, 902 at time 1607972185735
Moved to 975, 903 at time 1607972185786
Moved to 974, 904 at time 1607972185888
Moved to 973, 905 at time 1607972185940
Moved to 972, 906 at time 1607972185991
Moved to 971, 907 at time 1607972186042
Moved to 970, 908 at time 1607972186093
Moved to 969, 909 at time 1607972186144
Moved to 968, 910 at time 1607972186195
Moved to 967, 911 at time 1607972186246
Moved to 966, 912 at time 1607972186297
Moved to 965, 913 at time 1607972186348
Moved to 964, 914 at time 1607972186399
Got attacked at 964, 914 by Unit@44c7fdca at time 1607972186427
Moved to 963, 915 at time 1607972186451
Moved to 962, 916 at time 1607972186502
Got attacked at 962, 916 by Unit@7b083e9d at time 1607972186543
Moved to 961, 917 at time 1607972186554
Moved to 960, 918 at time 1607972186605
Moved to 959, 919 at time 1607972186657
Moved to 958, 920 at time 1607972186758
Moved to 957, 921 at time 1607972186809
Moved to 956, 922 at time 1607972186860
Moved to 955, 923 at time 1607972186911
Moved to 954, 924 at time 1607972186963
Moved to 953, 925 at time 1607972187015
Moved to 949, 926 at time 1607972187222
Moved to 948, 927 at time 1607972187274
Moved to 947, 928 at time 1607972187375
Moved to 946, 929 at time 1607972187426
Moved to 945, 928 at time 1607972187477
Moved to 944, 929 at time 1607972187529
Moved to 943, 930 at time 1607972187580
Moved to 942, 929 at time 1607972187631
Got attacked at 942, 929 by Unit@7399b729 at time 1607972187646
Moved to 941, 930 at time 1607972187682
Moved to 940, 929 at time 1607972187733
Moved to 939, 928 at time 1607972187784
Moved to 938, 929 at time 1607972187885
Moved to 937, 930 at time 1607972187936
Moved to 936, 929 at time 1607972187987
Moved to 935, 930 at time 1607972188038
Moved to 934, 931 at time 1607972188090
Got attacked at 934, 931 by Unit@44c7fdca at time 1607972188107
Moved to 933, 932 at time 1607972188141
Got attacked at 933, 932 by Unit@54de08b1 at time 1607972188193
Moved to 932, 931 at time 1607972188193
Got attacked at 932, 931 by Unit@7b083e9d at time 1607972188224
Moved to 931, 932 at time 1607972188245
Moved to 930, 933 at time 1607972188296
Got attacked at 930, 933 by Unit@6702b37a at time 1607972188311
Moved to 929, 934 at time 1607972188348
Died at 929, 934 at time 1607972188348
