Attacked Unit@44f7debfat position 1665, 569 at time 1607967053539
Attacked Unit@766087ddat position 1543, 583 at time 1607967097393
Moved to 1443, 353 at time 1607967097680
Moved to 1444, 354 at time 1607967097773
Moved to 1445, 355 at time 1607967097917
Moved to 1446, 356 at time 1607967098128
Moved to 1447, 357 at time 1607967098325
Moved to 1451, 358 at time 1607967099877
Moved to 1452, 359 at time 1607967100139
Moved to 1453, 360 at time 1607967100218
Moved to 1454, 361 at time 1607967100602
Moved to 1455, 362 at time 1607967100680
Moved to 1456, 363 at time 1607967101107
Moved to 1457, 364 at time 1607967101282
Moved to 1458, 365 at time 1607967101772
Moved to 1459, 366 at time 1607967101929
Moved to 1460, 367 at time 1607967102098
Moved to 1461, 368 at time 1607967102295
Moved to 1462, 369 at time 1607967102588
Moved to 1463, 370 at time 1607967103111
Moved to 1464, 371 at time 1607967103363
Moved to 1465, 372 at time 1607967103495
Moved to 1466, 373 at time 1607967103657
Moved to 1467, 374 at time 1607967103809
Moved to 1468, 375 at time 1607967103941
Moved to 1469, 376 at time 1607967104191
Moved to 1470, 377 at time 1607967104256
Moved to 1471, 378 at time 1607967104554
Moved to 1472, 379 at time 1607967104593
Moved to 1473, 380 at time 1607967104957
Moved to 1474, 381 at time 1607967104994
Moved to 1475, 382 at time 1607967105679
Moved to 1476, 383 at time 1607967106058
Moved to 1477, 384 at time 1607967106460
Moved to 1478, 385 at time 1607967106891
Moved to 1479, 386 at time 1607967107159
Moved to 1480, 387 at time 1607967107203
Moved to 1481, 388 at time 1607967107434
Moved to 1482, 389 at time 1607967107493
Moved to 1483, 390 at time 1607967107635
Moved to 1484, 391 at time 1607967107778
Moved to 1485, 392 at time 1607967107928
Moved to 1486, 393 at time 1607967108057
Moved to 1487, 394 at time 1607967108176
Moved to 1488, 395 at time 1607967108305
Moved to 1489, 396 at time 1607967108409
Moved to 1490, 397 at time 1607967108544
Moved to 1491, 398 at time 1607967108694
Moved to 1492, 399 at time 1607967109064
Moved to 1493, 400 at time 1607967109465
Moved to 1494, 401 at time 1607967109931
Moved to 1495, 402 at time 1607967110070
Moved to 1496, 403 at time 1607967110516
Moved to 1497, 404 at time 1607967110949
Moved to 1498, 405 at time 1607967110983
Moved to 1499, 406 at time 1607967111306
Moved to 1500, 407 at time 1607967111411
Moved to 1501, 408 at time 1607967111719
Moved to 1502, 409 at time 1607967111754
Moved to 1503, 410 at time 1607967111811
Moved to 1504, 411 at time 1607967112014
Moved to 1505, 412 at time 1607967112269
Moved to 1506, 413 at time 1607967112595
Moved to 1507, 414 at time 1607967113000
Moved to 1508, 415 at time 1607967113387
Moved to 1509, 416 at time 1607967113446
Moved to 1510, 417 at time 1607967113865
Moved to 1511, 418 at time 1607967113908
Moved to 1512, 419 at time 1607967114300
Moved to 1513, 420 at time 1607967114771
Moved to 1514, 421 at time 1607967115149
Moved to 1515, 422 at time 1607967115194
Moved to 1516, 423 at time 1607967115552
Moved to 1517, 424 at time 1607967115797
Moved to 1518, 425 at time 1607967116014
Moved to 1519, 426 at time 1607967116357
Moved to 1520, 427 at time 1607967116741
Moved to 1521, 428 at time 1607967116984
Moved to 1522, 429 at time 1607967117197
Moved to 1523, 430 at time 1607967117272
Moved to 1524, 431 at time 1607967117479
Moved to 1525, 432 at time 1607967117778
Moved to 1526, 433 at time 1607967118145
Moved to 1527, 434 at time 1607967118564
Moved to 1526, 433 at time 1607967118854
Moved to 1525, 432 at time 1607967119253
Moved to 1524, 431 at time 1607967119618
Moved to 1523, 430 at time 1607967119759
Moved to 1522, 429 at time 1607967119854
Moved to 1521, 428 at time 1607967119889
Moved to 1520, 427 at time 1607967119931
Moved to 1519, 426 at time 1607967119983
Moved to 1518, 425 at time 1607967120055
Moved to 1517, 424 at time 1607967120193
Moved to 1516, 423 at time 1607967120259
Moved to 1515, 422 at time 1607967120296
Moved to 1514, 421 at time 1607967120367
Moved to 1513, 420 at time 1607967120516
Moved to 1512, 419 at time 1607967120582
Moved to 1511, 418 at time 1607967120709
Moved to 1510, 417 at time 1607967120780
Moved to 1509, 416 at time 1607967120817
Moved to 1508, 415 at time 1607967120896
Moved to 1507, 414 at time 1607967120933
Moved to 1506, 413 at time 1607967120988
Moved to 1505, 412 at time 1607967121116
Moved to 1504, 411 at time 1607967121226
Moved to 1503, 410 at time 1607967121272
Moved to 1502, 409 at time 1607967121380
Moved to 1501, 408 at time 1607967121420
Moved to 1500, 407 at time 1607967121500
Moved to 1499, 406 at time 1607967121604
Moved to 1498, 405 at time 1607967121694
Moved to 1497, 404 at time 1607967121784
Moved to 1496, 403 at time 1607967121866
Moved to 1495, 402 at time 1607967121953
Moved to 1494, 401 at time 1607967122029
Moved to 1493, 400 at time 1607967122114
Moved to 1492, 399 at time 1607967122148
Moved to 1491, 398 at time 1607967122249
Moved to 1490, 397 at time 1607967122288
Moved to 1489, 396 at time 1607967122326
Moved to 1488, 395 at time 1607967122365
Moved to 1487, 394 at time 1607967122406
Moved to 1486, 393 at time 1607967122506
Moved to 1485, 392 at time 1607967122565
Moved to 1484, 391 at time 1607967122670
Moved to 1483, 390 at time 1607967122714
Moved to 1482, 389 at time 1607967122816
Moved to 1481, 388 at time 1607967122870
Moved to 1480, 387 at time 1607967122975
Moved to 1479, 386 at time 1607967123124
Moved to 1478, 385 at time 1607967123270
Moved to 1477, 384 at time 1607967123452
Moved to 1476, 383 at time 1607967123594
Moved to 1475, 382 at time 1607967123633
Moved to 1474, 381 at time 1607967123775
Moved to 1473, 380 at time 1607967123985
Moved to 1472, 379 at time 1607967124020
Moved to 1471, 378 at time 1607967124097
Moved to 1470, 377 at time 1607967124310
Moved to 1469, 376 at time 1607967124425
Moved to 1468, 375 at time 1607967124498
Moved to 1467, 374 at time 1607967124611
Moved to 1466, 373 at time 1607967124675
Moved to 1465, 372 at time 1607967124818
