Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644400
Moved to 524, 358 at time 1607965646142
Moved to 525, 359 at time 1607965646623
Moved to 526, 360 at time 1607965707935
Moved to 527, 361 at time 1607965708062
Moved to 528, 362 at time 1607965708184
Moved to 529, 363 at time 1607965708283
Moved to 530, 364 at time 1607965708369
Moved to 531, 365 at time 1607965708463
Moved to 532, 366 at time 1607965708582
Moved to 533, 367 at time 1607965708684
Moved to 534, 368 at time 1607965708799
Moved to 535, 369 at time 1607965708905
Moved to 536, 370 at time 1607965709015
Moved to 537, 371 at time 1607965709217
Moved to 538, 372 at time 1607965709432
Moved to 539, 373 at time 1607965709599
Moved to 540, 374 at time 1607965709741
Moved to 541, 375 at time 1607965710290
Moved to 542, 376 at time 1607965710435
Moved to 543, 377 at time 1607965710777
Moved to 544, 378 at time 1607965710894
Moved to 545, 379 at time 1607965711281
Moved to 546, 380 at time 1607965711318
Moved to 547, 381 at time 1607965711793
Moved to 548, 382 at time 1607965711888
Moved to 549, 383 at time 1607965712454
Moved to 550, 384 at time 1607965712490
Moved to 551, 385 at time 1607965712787
Moved to 552, 386 at time 1607965712849
Moved to 553, 387 at time 1607965713250
Moved to 554, 388 at time 1607965713368
Moved to 555, 389 at time 1607965713952
Moved to 556, 390 at time 1607965713999
Moved to 557, 391 at time 1607965714240
Moved to 558, 392 at time 1607965714278
Moved to 559, 393 at time 1607965714808
Moved to 560, 394 at time 1607965714849
Moved to 561, 395 at time 1607965715137
Moved to 562, 396 at time 1607965715274
Moved to 563, 397 at time 1607965715436
Moved to 564, 398 at time 1607965715601
Moved to 565, 399 at time 1607965715763
Moved to 566, 400 at time 1607965716101
Moved to 567, 401 at time 1607965716685
Moved to 568, 402 at time 1607965716896
Moved to 569, 403 at time 1607965717128
Moved to 570, 404 at time 1607965717163
Moved to 571, 405 at time 1607965717281
Moved to 572, 406 at time 1607965717352
Moved to 573, 407 at time 1607965717467
Moved to 574, 408 at time 1607965717525
Moved to 575, 409 at time 1607965717625
Moved to 576, 410 at time 1607965717677
Moved to 577, 411 at time 1607965717769
Moved to 578, 412 at time 1607965717961
Moved to 579, 413 at time 1607965718293
Moved to 580, 414 at time 1607965718333
Moved to 581, 415 at time 1607965718438
Moved to 582, 416 at time 1607965718597
Moved to 583, 417 at time 1607965718806
Moved to 584, 418 at time 1607965718922
Moved to 585, 419 at time 1607965718970
Moved to 586, 420 at time 1607965719208
Moved to 587, 421 at time 1607965719297
Moved to 588, 422 at time 1607965719333
Moved to 589, 423 at time 1607965719530
Moved to 590, 424 at time 1607965719782
Moved to 591, 425 at time 1607965720062
Moved to 592, 426 at time 1607965720329
Moved to 593, 427 at time 1607965720366
Moved to 594, 428 at time 1607965720554
Moved to 595, 429 at time 1607965720882
Moved to 596, 430 at time 1607965721074
Moved to 597, 431 at time 1607965721111
Moved to 598, 432 at time 1607965721366
Moved to 599, 433 at time 1607965721507
Moved to 600, 434 at time 1607965721593
Moved to 601, 435 at time 1607965721681
Moved to 602, 436 at time 1607965721758
Moved to 603, 437 at time 1607965721844
Moved to 604, 438 at time 1607965721904
Moved to 605, 439 at time 1607965721985
Moved to 606, 440 at time 1607965722052
Moved to 607, 441 at time 1607965722123
Moved to 608, 442 at time 1607965722179
Moved to 609, 443 at time 1607965722258
Moved to 610, 444 at time 1607965722309
Moved to 611, 445 at time 1607965722393
Moved to 612, 446 at time 1607965722591
Moved to 613, 448 at time 1607965723022
Moved to 614, 450 at time 1607965723432
Moved to 615, 453 at time 1607965723867
Moved to 616, 454 at time 1607965724208
Moved to 617, 455 at time 1607965724360
Moved to 618, 456 at time 1607965724691
Moved to 619, 457 at time 1607965724848
Moved to 620, 458 at time 1607965725174
Moved to 621, 459 at time 1607965725337
Moved to 622, 460 at time 1607965725640
Moved to 623, 461 at time 1607965725783
Moved to 624, 462 at time 1607965726094
Moved to 625, 463 at time 1607965726245
Moved to 626, 464 at time 1607965726566
Moved to 627, 465 at time 1607965726703
Moved to 628, 466 at time 1607965727013
Moved to 629, 467 at time 1607965727121
Moved to 630, 468 at time 1607965727443
Moved to 631, 469 at time 1607965727483
Moved to 632, 471 at time 1607965727939
Moved to 633, 472 at time 1607965728021
Moved to 634, 473 at time 1607965728389
Moved to 635, 474 at time 1607965728456
