Moved to 549, 678 at time 1607905494681
Moved to 550, 677 at time 1607905494715
Moved to 551, 676 at time 1607905494749
Moved to 552, 675 at time 1607905494783
Moved to 553, 674 at time 1607905494850
Moved to 554, 673 at time 1607905494885
Moved to 555, 672 at time 1607905494919
Attacked Unit@d612739at position 615, 346 at time 1607905497088
Attacked Unit@b2fb7d0at position 595, 313 at time 1607905499110
Moved to 556, 581 at time 1607905499280
Moved to 557, 580 at time 1607905499314
Moved to 558, 579 at time 1607905499381
Moved to 559, 578 at time 1607905499415
Moved to 560, 577 at time 1607905499449
Moved to 561, 576 at time 1607905499483
Moved to 562, 575 at time 1607905499519
Moved to 563, 573 at time 1607905499587
Moved to 564, 571 at time 1607905499656
Moved to 565, 570 at time 1607905499690
Moved to 566, 569 at time 1607905499725
Moved to 567, 568 at time 1607905499762
Moved to 568, 567 at time 1607905499829
Got attacked at 568, 562 by Unit@464a9b1e at time 1607905500002
Got attacked at 568, 562 by Unit@7f9230af at time 1607905500012
Got attacked at 568, 562 by Unit@1fef17db at time 1607905500023
Attacked Unit@7f9230afat position 608, 293 at time 1607905500783
Attacked Unit@1fef17dbat position 568, 293 at time 1607905502454
Moved to 569, 560 at time 1607905503516
Moved to 570, 559 at time 1607905503550
Moved to 571, 558 at time 1607905503585
Moved to 572, 557 at time 1607905503619
Moved to 573, 555 at time 1607905503687
Moved to 574, 554 at time 1607905503721
Moved to 575, 552 at time 1607905503790
Attacked Unit@11800769at position 634, 270 at time 1607905504307
Moved to 574, 535 at time 1607905504446
Moved to 573, 534 at time 1607905504480
Moved to 572, 533 at time 1607905504547
Moved to 571, 532 at time 1607905504581
Moved to 570, 531 at time 1607905504615
Moved to 569, 530 at time 1607905504649
Moved to 568, 529 at time 1607905504683
Moved to 567, 528 at time 1607905504717
Moved to 566, 527 at time 1607905504751
Moved to 565, 526 at time 1607905504785
Moved to 564, 525 at time 1607905504819
Moved to 563, 524 at time 1607905504853
Moved to 562, 523 at time 1607905504920
Moved to 561, 522 at time 1607905504957
Moved to 560, 521 at time 1607905504991
Moved to 559, 518 at time 1607905505097
Moved to 558, 517 at time 1607905505131
Moved to 557, 516 at time 1607905505166
Moved to 556, 515 at time 1607905505200
Moved to 555, 514 at time 1607905505234
Moved to 554, 513 at time 1607905505268
Moved to 553, 512 at time 1607905505302
Moved to 552, 511 at time 1607905505370
Moved to 551, 510 at time 1607905505404
Moved to 550, 509 at time 1607905505438
Moved to 549, 508 at time 1607905505506
Moved to 548, 507 at time 1607905505540
Moved to 547, 506 at time 1607905505574
Moved to 546, 505 at time 1607905505608
Moved to 545, 504 at time 1607905505645
Moved to 544, 503 at time 1607905505680
Moved to 543, 502 at time 1607905505714
Moved to 542, 501 at time 1607905505749
Moved to 541, 500 at time 1607905505783
Moved to 540, 499 at time 1607905505817
Moved to 539, 498 at time 1607905505851
Moved to 538, 497 at time 1607905505885
Moved to 537, 496 at time 1607905505919
Moved to 536, 495 at time 1607905505953
Moved to 535, 494 at time 1607905506020
Moved to 534, 493 at time 1607905506054
Moved to 533, 492 at time 1607905506088
Moved to 532, 491 at time 1607905506123
Moved to 531, 490 at time 1607905506161
Moved to 530, 489 at time 1607905506197
Moved to 529, 488 at time 1607905506231
Moved to 528, 487 at time 1607905506266
Moved to 527, 485 at time 1607905506335
Moved to 526, 484 at time 1607905506369
Moved to 525, 483 at time 1607905506404
Moved to 524, 482 at time 1607905506439
Moved to 523, 481 at time 1607905506474
Moved to 522, 480 at time 1607905506508
Moved to 521, 479 at time 1607905506543
Moved to 520, 478 at time 1607905506577
Moved to 519, 477 at time 1607905506612
Moved to 518, 476 at time 1607905506646
Moved to 517, 474 at time 1607905506714
Moved to 516, 473 at time 1607905506748
Moved to 515, 472 at time 1607905506782
Moved to 514, 471 at time 1607905506849
Moved to 513, 470 at time 1607905506883
Moved to 512, 468 at time 1607905506952
Moved to 511, 467 at time 1607905506986
Moved to 510, 466 at time 1607905507020
Moved to 509, 465 at time 1607905507054
Moved to 508, 464 at time 1607905507088
Moved to 507, 463 at time 1607905507122
Moved to 506, 462 at time 1607905507156
Moved to 505, 461 at time 1607905507191
Moved to 504, 460 at time 1607905507225
Moved to 503, 459 at time 1607905507259
Moved to 502, 458 at time 1607905507294
Moved to 501, 456 at time 1607905507363
Moved to 500, 455 at time 1607905507397
Moved to 499, 454 at time 1607905507463
Moved to 498, 453 at time 1607905507497
Moved to 497, 452 at time 1607905507531
Moved to 496, 451 at time 1607905507565
Moved to 495, 450 at time 1607905507599
Moved to 494, 449 at time 1607905507633
Moved to 493, 448 at time 1607905507668
Moved to 492, 446 at time 1607905507736
Moved to 491, 445 at time 1607905507772
Moved to 490, 444 at time 1607905507841
Moved to 489, 443 at time 1607905507876
Moved to 488, 442 at time 1607905507912
Moved to 487, 441 at time 1607905507946
Moved to 486, 440 at time 1607905507981
